"plot_id","TKW_g"
11,13.516
11,10.378
12,11.652
12,13.968
14,16.332
14,19.21
15,9.092
15,14.386
21,13.721
21,13.389
22,11.339
22,15.043
24,15.358
24,12.37
25,18.84
25,15.415
31,14.196
31,13.91
32,9.813
32,12.843
33,13.194
33,13.691
35,13.43
35,14.306
41,17.881
41,18.5
43,16.903
43,13.013
44,16.835
44,13.819
45,12.048
45,14.418
