year,month,day,max,min,avg,precip,norm.avg,norm.precip
2020,4,4,40.199,13.874,27.037,0.14,36.93,0.07
2020,4,5,53.114,29.835,41.475,0,37.42,0.07
2020,4,6,57.092,41.655,49.374,0.14,37.89,0.07
2020,4,7,64.814,38.161,51.488,0.02,38.34,0.07
2020,4,8,48.704,32.481,40.593,0,38.79,0.07
2020,4,9,35.202,24.629,29.916,0.01,39.26,0.07
2020,4,10,47.552,23.414,35.483,0,39.75,0.07
2020,4,11,54.644,28.274,41.459,0,40.2,0.07
2020,4,12,33.634,24.021,28.828,0,40.64,0.08
2020,4,13,31.752,18.592,25.172,0,41.12,0.08
2020,4,14,24.629,14.828,19.729,0,41.58,0.08
2020,4,15,34.788,10.85,22.819,0,42.05,0.08
2020,4,16,44.6,19.078,31.839,0,42.5,0.08
2020,4,17,48.938,19.564,34.251,0,42.96,0.08
2020,4,18,58.64,34.18,46.41,0,43.42,0.08
2020,4,19,45.975,25.963,35.969,0,43.89,0.08
2020,4,20,61.646,43.597,52.622,0.02,44.33,0.09
2020,4,21,44.429,24.152,34.291,0,44.78,0.08
2020,4,22,68.666,30.353,49.51,0,45.24,0.08
2020,4,23,61.736,30.184,45.96,0,45.69,0.09
2020,4,24,64.634,36.581,50.608,0.01,46.16,0.09
2020,4,25,66.56,31.082,48.821,0,46.61,0.1
2020,4,26,67.424,38.561,52.993,0,47.06,0.1
2020,4,27,71.15,41.412,56.281,0.04,47.52,0.09
2020,4,28,59.288,40.867,50.078,0.5,47.97,0.1
2020,4,29,65.264,36.948,51.106,0,48.43,0.1
2020,4,30,69.152,33.456,51.304,0,48.86,0.1
2020,5,1,81.968,50.45,66.209,0.03,49.33,0.1
2020,5,2,69.638,42.958,56.298,0,49.77,0.1
2020,5,3,59.468,36.478,47.973,0,50.23,0.09
2020,5,4,55.274,34.302,44.788,0,50.67,0.1
2020,5,5,53.816,37.191,45.504,0.11,51.11,0.1
2020,5,6,63.212,39.112,51.162,0,51.55,0.1
2020,5,7,57.236,33.694,45.465,0,52,0.1
2020,5,8,49.838,28.738,39.288,0,52.43,0.1
2020,5,9,55.4,29.163,42.282,0.09,52.85,0.11
2020,5,10,46.832,36.219,41.526,0,53.3,0.1
2020,5,11,50.018,28.861,39.44,0,53.73,0.11
2020,5,12,56.084,24.649,40.367,0,54.16,0.1
2020,5,13,56.426,44.01,50.218,0.06,54.6,0.11
2020,5,14,71.87,45.631,58.751,0,54.99,0.1
2020,5,15,66.434,34.459,50.447,0,55.42,0.11
2020,5,16,59.846,49.964,54.905,0.04,55.84,0.1
2020,5,17,62.618,45.637,54.128,0.12,56.25,0.11
2020,5,18,71.618,43.234,57.426,0,56.63,0.11
2020,5,19,70.718,46.36,58.539,0,57.06,0.12
2020,5,20,73.436,56.462,64.949,0,57.47,0.11
2020,5,21,65.75,54.608,60.179,0,57.83,0.11
2020,5,22,66.452,55.454,60.953,0,58.23,0.11
2020,5,23,70.772,54.302,62.537,0,58.6,0.11
2020,5,24,73.544,52.142,62.843,0,58.96,0.11
2020,5,25,76.55,53.582,65.066,0,59.35,0.11
2020,5,26,65.156,54.176,59.666,0.32,59.74,0.1
2020,5,27,83.102,50.342,66.722,0.01,60.1,0.11
2020,5,28,74.03,53.096,63.563,0,60.46,0.11
2020,5,29,67.532,44.676,56.104,0,60.8,0.11
2020,5,30,67.766,43.052,55.409,0,61.15,0.11
2020,5,31,78.116,38.952,58.534,0,61.49,0.12
2020,6,1,93.38,63.23,78.305,0.03,61.84,0.12
2020,6,2,84.02,60.692,72.356,0.3,62.16,0.12
2020,6,3,80.78,55.58,68.18,0,62.48,0.13
2020,6,4,82.688,57.542,70.115,0.09,62.81,0.13
2020,6,5,78.656,56.966,67.811,0,63.13,0.14
2020,6,6,74.264,50.954,62.609,0.04,63.43,0.14
2020,6,7,94.46,62.078,78.269,0,63.73,0.14
2020,6,8,94.154,73.796,83.975,0.02,64.03,0.14
2020,6,9,82.094,58.64,70.367,0.5,64.34,0.15
2020,6,10,68.864,50.702,59.783,0.02,64.6,0.14
2020,6,11,76.172,50.216,63.194,0,64.89,0.14
2020,6,12,75.02,51.674,63.347,0,65.16,0.14
2020,6,13,73.13,51.296,62.213,0,65.42,0.14
2020,6,14,78.782,55.22,67.001,0,65.67,0.14
2020,6,15,85.532,61.646,73.589,0.01,65.92,0.14
2020,6,16,92.192,71.69,81.941,0,66.19,0.14
2020,6,17,92.174,66.092,79.133,0,66.42,0.15
2020,6,18,76.568,56.246,66.407,1.091,66.64,0.15
2020,6,19,71.906,52.376,62.141,0.01,66.89,0.15
2020,6,20,72.212,56.246,64.229,0.28,67.11,0.15
2020,6,21,72.464,55.04,63.752,0,67.33,0.14
2020,6,22,73.778,50.756,62.267,0,67.54,0.15
2020,6,23,74.822,53.636,64.229,0,67.72,0.14
2020,6,24,77.756,50.072,63.914,0,67.92,0.15
2020,6,25,84.794,63.068,73.931,0,68.1,0.15
2020,6,26,82.364,58.91,70.637,0.01,68.29,0.15
2020,6,27,85.892,53.204,69.548,0,68.44,0.15
2020,6,28,85.262,64.508,74.885,0,68.62,0.16
2020,6,29,74.552,66.362,70.457,0.42,68.77,0.15
2020,6,30,86.306,66.02,76.163,0,68.93,0.15
2020,7,1,83.084,62.6,72.842,0.5,69.05,0.16
2020,7,2,87.98,69.044,78.512,0,69.19,0.16
2020,7,3,87.026,65.588,76.307,0,69.32,0.16
2020,7,4,87.89,62.528,75.209,0,69.44,0.15
2020,7,5,87.764,69.296,78.53,0,69.56,0.15
2020,7,6,83.156,63.608,73.382,0.1,69.66,0.14
2020,7,7,85.748,61.196,73.472,0,69.75,0.14
2020,7,8,88.484,65.264,76.874,2.011,69.85,0.14
2020,7,9,83.21,60.962,72.086,0.04,69.92,0.14
2020,7,10,81.14,57.47,69.305,0,70.03,0.15
2020,7,11,78.62,60.908,69.764,0.06,70.08,0.14
2020,7,12,82.328,58.658,70.493,0,70.13,0.15
2020,7,13,82.004,59.144,70.574,0,70.22,0.15
2020,7,14,73.22,55.904,64.562,0.05,70.25,0.15
2020,7,15,79.88,53.078,66.479,0,70.3,0.15
2020,7,16,83.804,57.578,70.691,0.1,70.31,0.14
2020,7,17,87.458,53.6,70.529,2.292,70.34,0.14
2020,7,18,83.048,63.842,73.445,0.23,70.34,0.14
2020,7,19,76.694,58.064,67.379,0,70.35,0.14
2020,7,20,79.808,54.698,67.253,0.18,70.39,0.14
2020,7,21,74.822,55.67,65.246,0.3,70.38,0.14
2020,7,22,72.428,50.9,61.664,0,70.37,0.13
2020,7,23,78.026,50.36,64.193,0,70.35,0.14
2020,7,24,88.07,68.288,78.179,0,70.34,0.13
2020,7,25,87.26,70.214,78.737,0.18,70.33,0.12
2020,7,26,79.934,58.784,69.359,0.33,70.27,0.12
2020,7,27,79.34,56.156,67.748,0,70.25,0.11
2020,7,28,80.546,59.342,69.944,0.08,70.21,0.12
2020,7,29,80.78,54.752,67.766,0,70.15,0.12
2020,7,30,80.672,55.184,67.928,0,70.09,0.12
2020,7,31,81.734,55.058,68.396,0,70.02,0.12
2020,8,1,78.422,60.044,69.233,0.03,69.94,0.12
2020,8,2,72.896,52.61,62.753,0,69.89,0.12
2020,8,3,74.48,47.57,61.025,0,69.8,0.11
2020,8,4,74.606,45.16,59.883,0,69.71,0.12
2020,8,5,73.31,50.882,62.096,0,69.64,0.12
2020,8,6,76.082,61.286,68.684,0,69.53,0.12
2020,8,7,78.962,63.932,71.447,0.13,69.42,0.12
2020,8,8,81.788,68.504,75.146,0,69.31,0.12
2020,8,9,81.914,67.586,74.75,0.05,69.22,0.11
2020,8,10,77.756,52.394,65.075,0,69.09,0.12
2020,8,11,80.456,51.188,65.822,0,68.94,0.12
2020,8,12,70.196,57.2,63.698,0.46,68.84,0.12
2020,8,13,85.442,62.492,73.967,0,68.69,0.12
2020,8,14,81.518,57.056,69.287,4.425,68.55,0.12
2020,8,15,75.452,51.836,63.644,0,68.4,0.12
2020,8,16,83.75,54.302,69.026,0,68.22,0.12
2020,8,17,74.606,52.268,63.437,0,68.1,0.12
2020,8,18,78.332,48.884,63.608,0,67.91,0.12
2020,8,19,82.508,57.902,70.205,0,67.72,0.12
2020,8,20,81.248,62.006,71.627,0,67.55,0.13
2020,8,21,84.344,61.52,72.932,0.06,67.35,0.13
2020,8,22,87.53,63.104,75.317,0,67.15,0.13
2020,8,23,87.116,61.106,74.111,0,66.95,0.13
2020,8,24,82.022,65.012,73.517,0.14,66.75,0.14
2020,8,25,84.344,66.398,75.371,0,66.52,0.13
2020,8,26,79.232,66.452,72.842,0.05,66.3,0.13
2020,8,27,80.33,64.4,72.365,0,66.05,0.13
2020,8,28,77.756,54.554,66.155,0.42,65.79,0.12
2020,8,29,76.802,51.422,64.112,0,65.55,0.12
2020,8,30,74.246,50.27,62.258,0,65.3,0.12
2020,8,31,70.178,51.008,60.593,0.01,65.03,0.11
2020,9,1,71.402,50.63,61.016,0,64.75,0.11
2020,9,2,77.846,48.884,63.365,0,64.45,0.11
2020,9,3,70.358,45.754,58.056,0.01,64.15,0.11
2020,9,4,76.55,45.936,61.243,0,63.84,0.11
2020,9,5,77.738,45.633,61.686,0,63.56,0.11
2020,9,6,77.144,54.77,65.957,0,63.23,0.11
2020,9,7,54.77,40.199,47.485,0.13,62.89,0.11
2020,9,8,50.54,34.959,42.75,0,62.55,0.1
2020,9,9,54.176,32.905,43.541,0,62.2,0.11
2020,9,10,64.382,30.913,47.648,0,61.86,0.1
2020,9,11,59.108,31.276,45.192,0.5,61.5,0.1
2020,9,12,61.772,44.596,53.184,0.01,61.12,0.1
2020,9,13,72.446,43.75,58.098,0,60.74,0.1
2020,9,14,73.544,45.025,59.285,0,60.36,0.1
2020,9,15,76.532,56.354,66.443,0,59.96,0.09
2020,9,16,64.04,38.039,51.04,0,59.54,0.09
2020,9,17,58.01,36.099,47.055,0,59.16,0.1
2020,9,18,62.078,42.854,52.466,0,58.73,0.1
2020,9,19,70.232,42.139,56.186,0,58.34,0.09
2020,9,20,73.274,53.582,63.428,0,57.9,0.1
2020,9,21,78.764,50.684,64.724,0,57.48,0.09
2020,9,22,81.302,44.789,63.046,0,57,0.1
2020,9,23,79.484,46.58,63.032,0.07,56.6,0.09
2020,9,24,71.51,56.93,64.22,0,56.11,0.1
2020,9,25,74.012,53.51,63.761,0,55.69,0.1
2020,9,26,69.782,51.638,60.71,0,55.2,0.1
2020,9,27,58.676,48.56,53.618,0.15,54.74,0.09
2020,9,28,52.538,42.112,47.325,0.01,54.27,0.1
2020,9,29,67.208,41.976,54.592,0.01,53.8,0.1
2020,9,30,62.69,44.645,53.668,0.01,53.33,0.09
2020,10,1,49.478,28.456,38.967,0.01,52.86,0.1
2020,10,2,48.308,27.696,38.002,0,52.36,0.1
2020,10,3,49.406,26.704,38.055,0,51.9,0.11
2020,10,4,56.174,21.999,39.087,0,51.41,0.1
2020,10,5,73.85,45.086,59.468,0,50.91,0.1
2020,10,6,78.602,39.954,59.278,0,50.43,0.09
2020,10,7,66.092,38.307,52.2,0,49.92,0.1
2020,10,8,65.264,29.896,47.58,0,49.44,0.1
2020,10,9,81.464,50.846,66.155,0,48.94,0.09
2020,10,10,62.6,36.262,49.431,0,48.44,0.1
2020,10,11,72.77,46.94,59.855,1.161,47.94,0.09
2020,10,12,64.022,42.652,53.337,0.03,47.42,0.09
2020,10,13,58.298,41.146,49.722,0,46.95,0.1
2020,10,14,59.612,34.569,47.091,0.063,46.44,0.09
2020,10,15,48.452,26.587,37.52,0,45.95,0.09
2020,10,16,41.725,30.196,35.961,0.02,45.43,0.09
2020,10,17,39.447,27.948,33.698,0.02,44.95,0.09
2020,10,18,31.897,20.286,26.092,0,44.45,0.08
2020,10,19,32.131,19.956,26.044,0.03,43.95,0.08
2020,10,20,32.238,28.332,30.285,0,43.45,0.08
2020,10,21,33.343,24.843,29.093,0.13,42.95,0.07
2020,10,22,31.386,27.948,29.667,0.07,42.42,0.07
2020,10,23,30.961,12.038,21.5,0.08,41.94,0.07
2020,10,24,27.009,12.038,19.524,0.03,41.44,0.07
2020,10,25,26.285,18.588,22.437,0.02,40.94,0.06
2020,10,26,26.069,6.134,16.102,0.06,40.42,0.06
2020,10,27,29.82,5.972,17.896,0,39.94,0.06
2020,10,28,41.477,27.477,34.477,0.01,39.41,0.06
2020,10,29,34.349,22.622,28.486,0,38.93,0.06
2020,10,30,43.441,30.281,36.861,0.01,38.42,0.06
2020,10,31,48.92,28.497,38.709,0,37.92,0.06
2020,11,1,33.633,21.789,27.711,0,37.39,0.05
2020,11,2,56.048,25.007,40.528,0,36.91,0.05
2020,11,3,68.45,31.897,50.174,0,36.41,0.05
2020,11,4,73.31,31.392,52.351,0,35.91,0.05
2020,11,5,62.33,33.838,48.084,0,35.41,0.05
2020,11,6,75.794,45.511,60.653,0,34.89,0.05
2020,11,7,68.306,51.026,59.666,0,34.38,0.05
2020,11,8,70.646,53.546,62.096,0,33.9,0.04
2020,11,9,54.68,25.272,39.976,0,33.38,0.04
2020,11,10,28.591,20.424,24.508,0,32.86,0.04
2020,11,11,30.416,9.482,19.949,0,32.38,0.04
2020,11,12,27.124,4.334,15.729,0,31.86,0.04
2020,11,13,31.01,0.968,15.989,0,31.36,0.03
2020,11,14,36.315,27.862,32.089,0,30.84,0.04
2020,11,15,35.866,17.744,26.805,0,30.37,0.04
2020,11,16,34.774,13.064,23.919,0,29.86,0.03
2020,11,17,29.601,7.61,18.606,0,29.34,0.04
2020,11,18,42.336,27.275,34.806,0,28.85,0.04
2020,11,19,50.414,31.897,41.156,0,28.36,0.04
2020,11,20,33.683,19.945,26.814,0,27.88,0.03
2020,11,21,39.337,16.088,27.713,0,27.36,0.03
2020,11,22,35.247,23.819,29.533,0,26.89,0.03
2020,11,23,33.208,17.935,25.572,0,26.38,0.03
2020,11,24,34.569,30.027,32.298,0,25.91,0.03
2020,11,25,32.639,29.856,31.248,0,25.43,0.03
2020,11,26,34.398,27.018,30.708,0,24.94,0.03
2020,11,27,33.463,20.957,27.21,0,24.45,0.03
2020,11,28,45.118,27.268,36.193,0,23.96,0.03
2020,11,29,41.761,17.85,29.806,0,23.52,0.03
2020,11,30,29.469,9.518,19.494,0,23.07,0.03
2020,12,1,39.852,15.368,27.61,0,22.59,0.03
2020,12,2,34.614,17.582,26.098,0,22.14,0.03
