exp,site,plot_code,trt_code,program,line,count_0.5m_1,count_0.5m_2,vis_rating
VAR23,Rosemount,2309,5,MN,2206,,,
VAR23,Rosemount,2310,16,MN,2204,,,
VAR23,Rosemount,2311,8,MN,1901,,,
VAR23,Rosemount,2312,7,MN,1803,,,
VAR23,Rosemount,2313,4,MN,2205,,,
VAR23,Rosemount,2314,17,TLI,701,,,
VAR23,Rosemount,2315,19,TLI,704,,,
VAR23,Rosemount,2316,10,MN,1903,,,
VAR23,Rosemount,2317,1,MN,1504,,,
VAR23,Rosemount,2318,6,MN,1802,,,
VAR23,Rosemount,2319,11,MN,1904,,,
VAR23,Rosemount,2320,18,TLI,801,,,
VAR23,Rosemount,2401,10,MN,1903,,,
VAR23,Rosemount,2402,14,MN,2202,,,
VAR23,Rosemount,2403,18,TLI,801,,,
VAR23,Rosemount,2404,1,MN,1504,,,
VAR23,Rosemount,2405,4,MN,2205,,,
VAR23,Rosemount,2406,5,MN,2206,,,
VAR23,Rosemount,2407,20,TLI,1001,,,
VAR23,Rosemount,2408,12,MN,1905,,,
VAR23,Rosemount,2409,6,MN,1802,,,
VAR23,Rosemount,2410,16,MN,2204,,,
VAR23,Rosemount,2411,7,MN,1803,,,
VAR23,Rosemount,2412,11,MN,1904,,,
VAR23,Rosemount,2413,15,MN,2203,,,
VAR23,Rosemount,2414,9,MN,1902,,,
VAR23,Rosemount,2415,13,MN,2201,,,
VAR23,Rosemount,2416,2,MN,1603,,,
VAR23,Rosemount,2417,17,TLI,701,,,
VAR23,Rosemount,2418,8,MN,1901,,,
VAR23,Rosemount,2419,3,MN,1605,,,
VAR23,Rosemount,2420,19,TLI,704,,,
VAR23,Waseca,3101,16,MN,2204,,,
VAR23,Waseca,3102,13,MN,2201,,,
VAR23,Waseca,3103,17,TLI,701,,,
VAR23,Waseca,3104,15,MN,2203,,,
VAR23,Waseca,3105,9,MN,1902,,,
VAR23,Waseca,3106,4,MN,2205,,,
VAR23,Waseca,3107,19,TLI,704,,,
VAR23,Waseca,3108,14,MN,2202,,,
VAR23,Waseca,3109,12,MN,1905,,,
