experiment,site,year,timing,crop,plot,bottle code,Product,Date,Time,InstrumentSerialNumber,Dry matter,Protein Dry basis,ICP As is,ADF Dry basis,NDF Dry basis,Fat Dry basis,Ash Dry basis,Lignin Dry basis,NDFICP Dry basis,Insoluble matter Dry basis,Sugar Dry basis,NDFD48 As is,Calcium Dry basis,Chlorine Dry basis,Potassium Dry basis,Magnesium Dry basis,Phosphorus Dry basis,Sulfur Dry basis,Dry matter M-Distance,Protein Dry basis M-Distance,ICP As is M-Distance,ADF Dry basis M-Distance,NDF Dry basis M-Distance,Fat Dry basis M-Distance,Ash Dry basis M-Distance,Lignin Dry basis M-Distance,NDFICP Dry basis M-Distance,Insoluble matter Dry basis M-Distance,Sugar Dry basis M-Distance,NDFD48 As is M-Distance,Calcium Dry basis M-Distance,Chlorine Dry basis M-Distance,Potassium Dry basis M-Distance,Magnesium Dry basis M-Distance,Phosphorus Dry basis M-Distance,Sulfur Dry basis M-Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,303,72317,Hay (Small Cup),43186,0.3913541667,,92.98,22.4,0.42,25.22,42.94,2.01,10.53,0.59,1.2,19.82,8.38,77.31,0.67,0.36,3.36,0.19,0.35,0.28,,,,,,,,,,4.08,2.91,2.79,2.6,2.68,2.09,3.57,8,3.87,3.38,2.29,9.7,2.82,7.19,3.17,2.49,2.46,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,iwg,304,72318,Hay (Small Cup),43186,0.3928703704,,96.17,21.34,0.33,28.03,47.6,1.96,10.73,0.81,1.81,20.27,5.66,85.97,0.68,0.6,3.41,0.19,0.35,0.28,,,,,,,,,,3.25,2.25,1.87,1.78,2.15,1.65,2.63,8.52,2.77,2.12,1.84,3.59,2.01,4.56,2.08,1.98,1.79,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,alf,101,72319,Hay (Small Cup),43186,0.3946527778,,93.93,19.71,0.18,25.74,45.42,2.08,10.24,-0.24,1.05,17.44,8.45,83.48,0.55,0.42,3.55,0.18,0.34,0.26,,,,,,,,,,3.98,2.86,2.78,2.53,2.65,2.1,3.71,8.05,3.84,3.4,2.19,8.65,2.66,6.56,2.9,2.42,2.43,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,alf,104,72320,Hay (Small Cup),43186,0.398125,,93.39,17.94,0.25,27.76,49.53,1.84,11.15,0.44,1.55,16.27,8.8,87.13,0.44,-0.07,3.41,0.15,0.32,0.23,,,,,,,,,,3.34,2.38,2.07,1.74,2.25,1.63,2.83,7.81,3.07,1.97,1.98,4.85,2.1,4.98,2.14,2.02,1.78,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,alf,205,72321,Hay (Small Cup),43186,0.4000694444,,95.91,21.61,0.31,28.14,47.23,1.96,10.31,0.83,2.01,20.47,5.77,82.05,0.69,0.46,3.46,0.19,0.36,0.28,,,,,,,,,,3.08,2.32,2.56,2.51,2.25,1.72,2.81,6.36,3.24,1.75,2.05,5.85,3.73,8.18,3.46,3.03,2.72,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,alf,207,72322,Hay (Small Cup),43186,0.4016782407,,93.47,18.91,0.16,26.63,46.29,2.02,8.91,0.25,0.94,16.36,8.83,74.46,0.5,0.25,3.41,0.16,0.32,0.25,,,,,,,,,,3.52,2.52,2.55,2.33,2.3,1.93,3.11,8.16,3.23,3.26,1.91,7.87,2.43,5.98,2.65,2.27,2.24,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,alf,301,72323,Hay (Small Cup),43186,0.4035300926,,93.48,21.24,0.26,24.49,43.27,2.16,9.44,0.96,0.87,17.88,8.71,81.47,0.6,0.56,3.52,0.2,0.34,0.27,,,,,,,,,,2.73,1.96,1.89,1.57,1.79,1.59,2.37,8.45,2.42,1.76,1.54,2.79,1.88,3.53,1.82,1.91,1.71,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,spring.pregraze,alf,304,72324,Hay (Small Cup),43186,0.4050694444,,93.54,23.15,0.23,22.51,38.17,2.15,9.63,0.31,0.79,19.83,9.66,79.78,0.72,0.69,3.49,0.21,0.35,0.29,,,,,,,,,,2.92,2.12,1.93,1.63,2.06,1.68,2.42,8.48,2.55,1.98,1.78,3.56,1.91,3.64,1.9,1.85,1.73,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,fall.pregraze,iwg,103,72290,,,,,95.02,3.34,0.42,41.22,69.91,1.26,10.76,2.75,-0.06,2.33,4.3,52.31,0.39,0.7,0.72,0.09,0.06,0.1,,,,,,,,,,2.96,2.15,2.26,1.82,2.18,1.62,2.5,7.49,2.86,2.06,1.95,4.91,2.61,5.88,2.55,2.21,2.02,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,fall.pregraze,iwg,104,72291,,,,,95.7,3.26,0.26,43.22,75.79,1.27,7.54,4.15,0.21,1.12,5.11,45.36,0.21,0.06,0.63,0.02,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
