experiment,site,year,timing,crop,plot,bottle code,Product,Date,Time,InstrumentSerialNumber,Dry matter,Protein Dry basis,ICP As is,ADF Dry basis,NDF Dry basis,Fat Dry basis,Ash Dry basis,Lignin Dry basis,NDFICP Dry basis,Insoluble matter Dry basis,Sugar Dry basis,NDFD48 As is,Calcium Dry basis,Chlorine Dry basis,Potassium Dry basis,Magnesium Dry basis,Phosphorus Dry basis,Sulfur Dry basis,Dry matter M-Distance,Protein Dry basis M-Distance,ICP As is M-Distance,ADF Dry basis M-Distance,NDF Dry basis M-Distance,Fat Dry basis M-Distance,Ash Dry basis M-Distance,Lignin Dry basis M-Distance,NDFICP Dry basis M-Distance,Insoluble matter Dry basis M-Distance,Sugar Dry basis M-Distance,NDFD48 As is M-Distance,Calcium Dry basis M-Distance,Chlorine Dry basis M-Distance,Potassium Dry basis M-Distance,Magnesium Dry basis M-Distance,Phosphorus Dry basis M-Distance,Sulfur Dry basis M-Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,fall.pregraze,iwg,303,72302,,,,,96.15,2.72,0.38,46.12,77.41,1.15,9.05,4.19,0.04,0.65,2.44,47.82,0.28,0.11,0.45,0.04,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,fall.pregraze,iwg,304,72303,,,,,95.92,3.76,0.29,44.29,73.94,1.3,8.68,4.42,0.3,2.16,5.15,44.5,0.37,0.49,0.64,0.06,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,fall.pregraze,iwg,305,72304,,,,,97.27,1.63,0.37,49.86,84.85,1.26,6.96,5.56,-0.13,-1.66,2.24,42.92,0.12,0.24,0.26,0,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,fall.pregraze,alf,305,72305,,,,,93.36,18.06,0.33,25.38,33.07,1.6,14.62,1.16,0.72,19.14,5.78,77.16,1.6,0.6,2.22,0.42,0.21,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2017,fall.pregraze,iwg,306,72306,,,,,97.05,0.73,0.34,49.09,84.16,1.26,7.43,4.86,-0.14,-2.16,1.97,48.87,-0.01,0.25,0.38,-0.02,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,101,80295,Hay (Small Cup),3/15/2019,13:29:09,1611154,93.75,11.9,0.06,34.96,64.62,1.92,8.69,0.64,1.63,9.61,5.14,78.72,0,0.98,4.01,0.03,0.32,0.19,4.24,3.54,2.57,2.39,3.11,2.29,3.79,6.84,4.09,2.9,2.74,10.34,3.08,8.41,3.17,2.86,3.2,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,102,80296,Hay (Small Cup),3/15/2019,13:21:22,1611154,94.16,11,0.05,36.43,68.75,1.89,8.53,1.39,1.83,8.37,4.08,80.65,-0.07,1.15,4.02,0,0.31,0.18,4.49,3.9,2.94,2.6,3.45,2.43,4.27,7.24,4.48,3.26,3.08,15,3.43,9.33,3.42,3.04,3.71,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,103,80297,Hay (Small Cup),3/15/2019,13:33:52,1611154,94.47,14.32,0,31.62,61.93,2.04,8.76,-0.48,1.78,11.78,4.67,86.31,0.02,1.23,4.19,0.03,0.34,0.21,4.28,3.66,2.82,2.46,3.15,2.31,3.82,8.64,4.16,3.42,2.63,11.48,3.13,8.51,3.3,2.96,3.32,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,104,80298,Hay (Small Cup),3/15/2019,13:31:15,1611154,93.66,12.54,0.06,33.58,62.63,1.93,8.62,0.84,1.66,10.52,5.48,76.99,0.07,0.87,3.82,0.06,0.31,0.2,3.73,3.07,2.34,2.13,2.67,1.99,3.31,5.77,3.6,2.41,2.37,8.83,2.69,7.2,2.75,2.53,2.62,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,205,80299,Hay (Small Cup),3/15/2019,13:40:24,1611154,94.25,12.58,0.08,34.72,65.24,1.97,8.31,0.43,1.68,9.86,5.08,80.92,0,0.97,4.01,0.03,0.32,0.2,4.02,3.45,2.6,2.31,2.97,2.25,3.54,7.64,3.87,3.17,2.62,10.96,3.04,8.4,3.22,2.87,3.43,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,206,80300,Hay (Small Cup),3/15/2019,13:19:32,1611154,94.01,12.12,0.09,35.18,66.35,1.95,8.61,0.2,1.87,9.59,4.64,81.71,-0.01,1.17,4.08,0.02,0.32,0.19,4.45,3.81,2.7,2.48,3.3,2.42,4.03,7.55,4.27,3.16,2.99,11.75,3.25,8.76,3.4,3.03,3.69,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,207,80301,Hay (Small Cup),3/15/2019,13:35:53,1611154,94.26,13.66,0.06,32.24,61.51,1.98,8.81,-0.47,1.69,11.58,5.49,81.37,0.04,0.9,3.86,0.06,0.33,0.21,3.89,3.13,2.46,2.22,2.72,2.04,3.27,7.22,3.66,2.78,2.29,10.24,2.88,8.01,3.06,2.68,2.75,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,208,80302,Hay (Small Cup),3/15/2019,13:27:00,1611154,93.84,12.71,0.08,33.38,63.61,1.98,8.56,-0.3,1.68,10.48,5.12,82.11,0.03,1.05,3.86,0.04,0.32,0.2,4.32,3.55,2.55,2.35,3.1,2.24,3.7,7.28,4.05,2.94,2.7,11.1,3.04,8.58,3.27,2.86,3.11,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,301,80303,Hay (Small Cup),3/15/2019,13:37:59,1611154,94.38,14.08,0.11,33.18,63.4,1.99,8.69,0.28,1.73,11.38,5,80.68,0.04,0.95,3.97,0.04,0.33,0.21,4.3,3.48,2.64,2.38,3.03,2.23,3.63,7.51,4.03,3.39,2.58,12.54,3.15,8.96,3.39,2.88,3.29,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,302,80304,Hay (Small Cup),3/15/2019,13:25:08,1611154,93.85,14.56,0.14,33.96,64.1,2,9.5,0.07,1.97,11.93,3.77,79.6,0.04,1.17,4.3,0.04,0.35,0.22,5.06,4.1,2.66,2.68,3.51,2.57,4.32,7.24,4.72,3.53,3.04,11.74,3.51,9.56,3.72,3.2,3.63,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,303,80305,Hay (Small Cup),3/15/2019,13:17:35,1611154,93.91,15.84,0.17,32.34,60.12,2,9.49,-0.53,1.92,13.79,4.61,78.3,0.17,1.15,4.07,0.07,0.35,0.23,4.75,3.59,2.53,2.51,3.14,2.32,3.79,6.62,4.18,3.41,2.66,10.2,3.23,8.85,3.54,2.94,3.17,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,iwg,304,80306,Hay (Small Cup),3/15/2019,13:23:07,1611154,93.39,15.88,0.17,31.76,58.09,1.96,9.57,-0.25,1.8,13.41,5.77,77.7,0.19,1.07,4.06,0.07,0.35,0.23,4.3,3.35,2.35,2.33,3,2.19,3.57,6.05,3.87,2.96,2.57,8.36,3.01,7.77,3.22,2.76,2.86,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,alf,101,80307,Hay (Small Cup),3/15/2019,11:55:19,1611154,93.49,23.11,0.25,22.84,31.08,1.68,11.44,3.58,0.57,20.99,5.48,59.7,1.38,0.95,3,0.24,0.28,0.28,2.68,1.76,1.85,1.9,1.87,1.76,2.4,8.94,2.4,1.69,1.37,7.66,2.19,3.98,1.84,1.88,1.87,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,alf,104,80308,Hay (Small Cup),3/15/2019,11:51:55,1611154,94.3,24.52,0.32,24.34,31.38,1.81,11.44,4.65,0.63,22.66,3.67,60.44,1.47,1.27,2.77,0.28,0.29,0.29,3.67,2.26,2.03,2.23,2.48,1.9,2.69,6.88,2.78,2.19,1.87,11.35,2.51,4.52,2.14,2.06,1.92,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,alf,205,80309,Hay (Small Cup),3/15/2019,11:49:47,1611154,94.03,23.91,0.27,25.05,32.18,1.76,11.22,4.64,0.39,20.85,4.44,61.02,1.4,1.04,2.98,0.24,0.29,0.28,2.97,1.99,1.98,1.86,2.14,1.79,2.42,6.99,2.46,2.04,1.61,8.93,2.31,3.96,1.91,1.91,1.8,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,alf,207,80310,Hay (Small Cup),3/15/2019,11:57:53,1611154,92.37,25.32,0.4,20.96,27.32,1.79,11.81,3.98,0.35,22.64,6.68,59.86,1.47,1.08,2.73,0.28,0.29,0.29,2.71,1.7,1.5,1.71,2,1.59,2.05,6.56,2.08,1.88,1.44,5.08,2.19,3.46,1.83,1.81,1.85,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,alf,301,80311,Hay (Small Cup),3/15/2019,12:00:10,1611154,93.78,23.88,0.33,25.01,32.97,1.69,12,4.5,0.76,21.88,3.87,55.9,1.38,1.07,3.07,0.24,0.29,0.29,3.42,2.14,2.04,2.23,2.32,1.86,2.73,7.29,2.79,1.99,1.71,10.46,2.67,4.88,2.12,2.15,2.01,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,spring.pregraze,alf,304,80312,Hay (Small Cup),3/15/2019,13:13:35,1611154,91.69,26.17,0.35,19.36,25.57,1.89,11.75,3.51,-0.1,22.68,7.04,58.23,1.44,1.24,2.93,0.27,0.3,0.29,3.38,2.05,1.57,1.81,2.57,1.92,2.32,6.91,2.43,2.15,1.67,4.2,2.78,3.92,2.05,2.41,2.15,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,103,82669,Hay (Small Cup),4/5/2019,11:42:12,1611154,92.87,16.27,0.72,40.48,65.42,1.67,12.13,3.99,4.21,12.06,3.56,85.29,0.73,0.19,3.31,0.29,0.3,0.18,3.54,2.17,2.03,2.25,2.34,1.88,2.75,7,2.85,2.01,1.77,10.69,2.59,4.73,2.08,2.08,1.97,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,104,82670,Hay (Small Cup),4/5/2019,11:38:47,1611154,93.02,17.83,0.78,37.89,64.09,1.87,11.81,3.34,4.27,12.32,4.34,87.73,0.73,0.62,3.76,0.29,0.34,0.21,3.38,2.05,1.57,1.81,2.57,1.92,2.32,6.91,2.43,2.15,1.67,4.2,2.78,3.92,2.05,2.41,2.15,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,105,82671,Hay (Small Cup),4/5/2019,11:48:25,1611154,93.09,18.37,0.74,38.13,64.11,1.8,11.52,3.46,4.52,13.1,3.59,83.68,0.74,0.68,3.68,0.27,0.34,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,106,82672,Hay (Small Cup),4/5/2019,11:06:21,1611154,93.68,12.9,0.6,39.39,70.43,1.9,9.6,2.59,3.51,10.34,2.54,66.21,0.57,1.23,2.83,0.25,0.27,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,201,82675,Hay (Small Cup),4/5/2019,11:53:22,1611154,92.78,15.55,0.65,38.06,62.42,1.55,12.06,3.22,3.86,12.37,3.84,83.55,0.74,0.13,3.04,0.26,0.28,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,202,82676,Hay (Small Cup),4/5/2019,11:22:09,1611154,92.62,11.54,0.57,40.85,69.48,1.55,11.37,2.7,3.46,8.75,3.56,77.31,0.58,0.41,2.66,0.25,0.23,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,207,82681,Hay (Small Cup),4/5/2019,11:34:28,1611154,93.04,13,0.38,36.57,65.94,1.85,10.46,1.72,2.91,11.02,3.49,59.97,0.54,1.18,2.8,0.22,0.26,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,208,82682,Hay (Small Cup),4/5/2019,11:27:23,1611154,93.2,17.62,0.31,28.34,54.55,1.78,10.62,1.64,3.02,13.4,7.96,70.94,0.73,1.15,3.2,0.18,0.28,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,303,82685,Hay (Small Cup),4/5/2019,11:29:08,1611154,93.87,16.82,0.66,36.9,62.28,1.8,11.39,3.52,3.85,13.84,3.91,76.44,0.91,0.86,2.79,0.31,0.28,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,304,82686,Hay (Small Cup),4/5/2019,11:43:45,1611154,93.51,12.45,0.46,36.8,66.8,1.9,9.33,2.86,2.94,10.12,4.16,62.4,0.58,1.27,2.61,0.25,0.24,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,305,82687,Hay (Small Cup),4/5/2019,11:12:31,1611154,94.36,11.58,0.45,40.36,71.99,1.8,9.04,3.39,2.78,8.88,2.42,58.63,0.52,1.25,2.44,0.18,0.22,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,iwg,306,82688,Hay (Small Cup),4/5/2019,11:25:33,1611154,93.62,17.35,0.62,37.21,64.89,1.79,11.04,2.6,3.92,13.56,3.19,69.42,0.69,1.13,3.34,0.2,0.31,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,alf,104,80325,Hay (Small Cup),3/26/2019,16:17:56,1611154,95.79,26,0.85,40.59,54.21,1.59,14.15,7.01,4.81,23.89,-1.81,73.05,1.32,-0.38,3.34,0.33,0.37,0.27,9.19,6.31,7.1,13.09,6.09,5.98,7.19,14.35,6.68,3.98,6.11,43.41,18.84,23.96,22.42,16.74,14.83,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,alf,106,80326,Hay (Small Cup),3/26/2019,16:14:31,1611154,99.07,33.85,0.94,40.11,49.25,1.59,15.47,5.51,5.66,34.8,-7.77,43.69,1.81,-0.24,2.77,0.34,0.42,0.39,15.47,9.9,9.8,15.11,9.75,7.2,13.34,12.69,11.66,9.16,10.27,72.12,15.31,25.46,19.9,12.12,10.73,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,alf,202,80327,Hay (Small Cup),3/26/2019,15:54:29,1611154,93.96,19.8,0.64,39.71,56.34,1.44,13.82,6.96,4.03,17.96,0.96,87.49,0.91,-0.5,3.34,0.29,0.33,0.19,6.99,4.37,6.47,15.07,4.14,6.59,4.05,16.44,4.4,2.5,3.42,28.43,27.98,32.73,30.08,25.83,22.44,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,alf,207,80328,Hay (Small Cup),3/26/2019,16:23:48,1611154,99.19,30.06,0.97,39.82,49.61,1.6,14.68,5.22,5.04,32.4,-5.71,44.28,1.8,0.19,1.99,0.39,0.37,0.35,14.11,9.13,8.51,13.62,9.24,6.89,11.67,10.59,11.13,7.86,9.71,66.44,14.15,22.04,19.03,11.4,10.29,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,alf,304,80329,Hay (Small Cup),3/26/2019,16:16:01,1611154,98.73,28.34,0.76,43.29,53.32,1.51,14.16,6.71,4.39,28.61,-7.53,35.71,1.72,-0.06,2.3,0.31,0.33,0.32,13.52,8.68,8.07,12.51,8.67,5.99,11.33,10.96,10.36,7.51,8.69,81.2,12.75,21.94,15,9.84,8.6,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,fall.pregraze,alf,305,80330,Hay (Small Cup),3/26/2019,16:13:00,1611154,98.41,32.51,0.81,38.33,45.64,1.48,15.37,5.77,4.77,33.68,-5.71,33.89,1.94,0.09,2.05,0.33,0.36,0.37,16.16,10.08,9.19,13.08,10.5,6.97,14.01,11.06,12.28,8.4,10.63,76.07,12.91,22.82,15.62,9.81,8.7,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,iwg.harvest,iwg,101,80331,Hay (Small Cup),4/9/2019,15:00:43,1611154,93.98,3.06,0.21,42.26,73.52,1.66,3.25,5.17,1.39,1.41,9.31,46.43,0.02,0.56,1.5,0.08,0.15,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mob Graze,Morris,2018,iwg.harvest,iwg,102,80332,Hay (Small Cup),4/9/2019,15:27:06,1611154,94.53,1.68,0.28,43.16,75.31,1.59,2.44,5.54,1.33,-0.08,9.61,43.11,0,0.52,1.09,0.07,0.12,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
