plot,treatment,plants per ft
101,10,8
102,10,12
103,10,11
104,10,15
105,10,7
106,10,7
107,10,0
108,10,4
109,10,0
201,8,4
202,7,8
203,8,8
204,7,14
205,8,8
206,7,1
207,9,0
208,9,3
209,9,38
301,7,2
302,8,9
303,7,9
304,8,1
305,7,7
306,8,4
307,9,30
308,9,3
309,9,6
401,4,5
402,5,10
403,4,5
404,5,2
405,4,6
406,5,0
407,6,1
408,6,6
409,6,2
501,4,11
502,5,14
503,4,13
504,5,14
505,4,12
506,5,8
507,6,9
508,6,20
509,6,19
601,1,0
602,2,3
603,1,4
604,2,7
605,1,8
606,2,8
607,3,14
608,3,10
609,3,11
